id,clean_review,verified,word_count,vader_positive,vader_negative,vader_neutral,vader_compound,vader_sentiment,textblob_polarity,textblob_subjectivity,textblob_sentiment,combined_sentiment,sentiment_confidence
1,flew gatwick to san jose costa rica return with ba at a very good price of return for both of us the flight out was a typically cramped atlantic crossing and my wife and i were separated and unable to sit together the cabin crew were professional and there were lots of complimentary drink runs the food was average at best and lots of options ran out during the flight on the way back the plane left minutes late the crossing was quicker at hours some time was made up and cabin crew were very good my main issue was that the plane did not seem to have been prepared very well there was nothing at all in my seat pocket not great when you are referred to safety material that should have been there and wasn t the catering was really disgusting though i was served a vegetable lasagne which consisted of a suet like stodge surrounded by some runny soup truly horrible and the worst long haul catering i have ever been served i thought that the whole experience was a bit shoddy and average such a shame that the middle east carriers are so much better in virtually every way sad and disappointing,False,206,0.12,0.099,0.781,0.4889,Positive,-0.0704,0.5094,Negative,Positive,0.2933
2,orlando to london i had booked business class and i wanted to be comfortable unfortunately with british airways i paid all these money and at the end i was having so many issues that made me thinking of not flying with this company again i checked in hours before the flight as soon as the online check in opened the system gave me only a single seat opposite to the direction of the airplane with no possibilty to be able to change it i called british airways main office to try to sort this out initially i was told that they could not do anything and they sent a note to british airways at the airport as airport keeps some business class seats i called again the main office to talk to a different person in case i was suggested a different option abd the second officer sent a second note to the aeroport as soon as i arrived at the airport at the check desk i was informed that they had not received any notes and there were no seats available for me however they were going to fix it at the gate when i arrived at the gate i was asked to try myself to ask every other business passager to swap seats i do not feel that it is worth paying for business with british airways and then getting all this chaos it was finally found one staff who had kindly agreed to asking other passenger for swapping seats on behalf of me finally my lagguage that was priority came out last,True,265,0.038,0.04,0.922,-0.1717,Negative,0.0851,0.3932,Positive,Negative,0.103
3,newark to london heathrow this was the first time i have flown long haul ba for sometime although i am ba goldcard holder due to my travels on other oneworld carriers the lounge in newark is lovely and mostly quiet although there is no separate first section and food is only offered for business and first passengers super views over the airfield boarding was smooth however the hard product is awful compared to the competition this was a new boeing however the ying yang seat configuration no air vents high density poor quality food and very little of it very basic toilet facilities compared to american business class on the same route a shoe bag instead of amenity kit the product is akin to an excellent premium economy and not a business class product flight attendants were ok but just going through the motions i asked not to be served breakfast and just a cup of tea but this was forgotten about the arrivals lounge is grim tiny plastic and linoleum shower cabins which are not clean and too small overall very poor and i will not fly with them again unless no other options,True,195,0.041,0.121,0.838,-0.9462,Negative,-0.0252,0.5042,Neutral,Negative,0.5677
4,hyderabad to london i have travelled ba numerous times and had very good experiences up until this past week when i was returning from hyderabad to london from a business trip and was downgraded a cabin while the downgrade itself was not to so much the problem the manner in which the ba staff handled the situation and the apparent lack of care or effort exuded was extremely disappointing i have had previous experiences of being inconvenienced by changes in cabin fair or cancelled flights on other airlines and in such instances those airlines did a fantastic job of providing alternatives or compensation for my troubles in this instance with british airways i was very surprised to find that the company as a whole seemed to care not at all for my well being or the inconvenience put upon me when i asked if i could be put on another comparable flight i was shut down and told no this is not possible without any explanation when i then inquired about switching to a partner airline or receiving a refund to book a different flight on another airline i was told again and again no this is not possible after realising that british airways was in no way going to try and remedy the situation i asked what could be done given the circumstances my answer was a to be handed a gift card and be told that there was essentially nothing i could do about it as the airline was under no legal obligation to provide the service ticket class i had purchased after the flight i filed a claim with british airways and sent emails to the customer service team hoping that someone would have the decency to try and provide some sort of remedy to my less than pleasant experience but i have yet receive even one response only adding to my understanding that british airways does not value myself as a customer or my business i am sad to say that this painfully bad service is likely to prevent me from booking future travel with this airline,True,351,0.054,0.09,0.857,-0.9399,Negative,0.0186,0.5079,Neutral,Negative,0.5639
5,london to chicago in my opinion british airways have massively decreased in value for its customers both within europe and internationally especially as an economy passenger they are moving more towards being a budget airline there is no option of a free seat selection they charge for food on board on short haul flights on long haul flights they removed a second meal with shabby options of a snack instead of a full breakfast or lunch meal avios and tier point awards have been slashed i will not be flying ba any more and will be taking my money elsewhere,True,100,0.081,0.038,0.881,0.6808,Positive,0.13,0.475,Positive,Positive,0.4054
6,london to vancouver return british airways is no longer good value for money the cost of premium economy compared with the quality of service food and the general age of the plane make this a fairly pointless exercise the plane in both directions was old and shabby staff are fine but don t really go out of their way to make it a pleasant experience particular bugbears were the inability to choose a seat when checking in online as soon as it opened of course you have the opportunity to pay an extra each way to choose a seat beforehand the food quality seems to have declined in the past few years and on a pm return flight it took a good few hours to serve the premium economy cabin the tv screens are dirty and small the system had to be reset on the flight out took quite a while for almost double the price of economy i don t think it makes sense to fly world traveller plus on this route,True,173,0.079,0.065,0.856,0.5855,Positive,0.1176,0.3917,Positive,Positive,0.3516
7,flew london heathrow to gibraltar this is probably the last time that i ll book a short haul with british airways from heathrow for anything other than a long holiday no matter how cheap they make it they can t overcome the structural issues of long walks to gates delays for take off slots long walks back to passport control then long queues as passport control and a schlep back to transport willie walsh was saying the other day how people had to expect to pay higher prices for premium airports slightly hollow laugh ba are further constrained by their class cabin configuration which effectively means that the majority of passengers in economy are served by only x cabin crew and only have access to the rear toilets on our flight of well over hours this meant that the final few rows did not get access to any food or water until we had begun the descent and the loos were effectively out of use i have no objection to paying for food and drink but ba have got to make it possible to actually be able to do it and use the loos reasonably easily seems like a structural flaw in their offering the other frustration was the lack of enforcement of the carry on allowance which leads to a scrum to get your bags stowed it took me back to the early days of easyjet and ryanair before allocated seating so unless i m lucky enough to be among the pampered minority in the front few rows i think i ll use regional airports and the better general service and available loos that come with a single class cabin no matter who the carrier is,True,287,0.076,0.043,0.881,0.9024,Positive,0.0949,0.4414,Positive,Positive,0.4986
8,this is my first time flying on ba s a daily service between london heathrow and singapore i chose a seat on the upper deck of the a seat a an exit row seat located just behind world traveller plus this seat has enormous leg space which allows the passenger to fully stretch out the inflight entertainment was adequate and featured some of the latest movies the classical music selection was severely limited though bbc news was on the menu but ironically it was not available for some strange reason inflight service was basic there was only one round of drink service during which cabin crew asked passengers for their drink selection for dinner in other words you would have to order your orange juice coke and wine at the same time cabin crew came around to clear dinner trays too fast even before passengers had finished their meal throughout the night of this red eye flight i did not see any cabin crew coming around with drinks the lhr vce route was operated by the a british airways had recently withdrawn free inflight snacks and drinks for its european routes and passengers are now required to purchase drinks and m s snacks on the whole ba will get you to your destination safely and punctually with no frills in economy class unless there is a promotional airfare too good to resist i would choose another airline,True,237,0.076,0.033,0.891,0.9169,Positive,0.0822,0.3622,Positive,Positive,0.4996
9,british airways are really trying to take all the worst parts of the budget airlines and make a uniquely poor offering i recently flew with ba from gatwick to marrakech despite the ticket price being twice the price of easyjet the catering with the new m s food can be described as nothing short of chaotic on the return journey the best that could be offered on a four hour journey was a kitkat cost cutting includes removing toilets is one toilet for people realistic ba,True,86,0.071,0.09,0.839,-0.2197,Negative,-0.0482,0.3944,Neutral,Negative,0.1318
10,london heathrow to cape town return this return journey was the worst long haul flight that i ve ever taken british airways boeing has been configured to cram in as many seats as possible so with only toilets to cater for the front cabin queues were or people long continuously throughout the flight there was hardly any legroom and while it s good that the seats recline quite a way it s impossible to get in or out of a row without limbo dancing or waking the row in front to move their seats the seats are very narrow so put pressure on my elbows when i was trying to sleep i m not a large lady only kg and the entertainment controller is on the top of the armrest so my neighbour was constantly switching my light on accidentally i gave up trying to watch a movie as the screen was so close to my face i couldn t focus on it the inflight meal was also very poor unlike the food we had on five internal flights on saa which was excellent british airways have lost the plot fly with someone else,True,194,0.053,0.07,0.877,-0.5379,Negative,0.0455,0.6002,Neutral,Negative,0.3227
11,flew gatwick to san jose costa rica return with ba at a very good price of return for both of us the flight out was a typically cramped atlantic crossing and my wife and i were separated and unable to sit together the cabin crew were professional and there were lots of complimentary drink runs the food was average at best and lots of options ran out during the flight on the way back the plane left minutes late the crossing was quicker at hours some time was made up and cabin crew were very good my main issue was that the plane did not seem to have been prepared very well there was nothing at all in my seat pocket not great when you are referred to safety material that should have been there and wasn t the catering was really disgusting though i was served a vegetable lasagne which consisted of a suet like stodge surrounded by some runny soup truly horrible and the worst long haul catering i have ever been served i thought that the whole experience was a bit shoddy and average such a shame that the middle east carriers are so much better in virtually every way sad and disappointing,False,206,0.12,0.099,0.781,0.4889,Positive,-0.0704,0.5094,Negative,Positive,0.2933
12,orlando to london i had booked business class and i wanted to be comfortable unfortunately with british airways i paid all these money and at the end i was having so many issues that made me thinking of not flying with this company again i checked in hours before the flight as soon as the online check in opened the system gave me only a single seat opposite to the direction of the airplane with no possibilty to be able to change it i called british airways main office to try to sort this out initially i was told that they could not do anything and they sent a note to british airways at the airport as airport keeps some business class seats i called again the main office to talk to a different person in case i was suggested a different option abd the second officer sent a second note to the aeroport as soon as i arrived at the airport at the check desk i was informed that they had not received any notes and there were no seats available for me however they were going to fix it at the gate when i arrived at the gate i was asked to try myself to ask every other business passager to swap seats i do not feel that it is worth paying for business with british airways and then getting all this chaos it was finally found one staff who had kindly agreed to asking other passenger for swapping seats on behalf of me finally my lagguage that was priority came out last,True,265,0.038,0.04,0.922,-0.1717,Negative,0.0851,0.3932,Positive,Negative,0.103
13,newark to london heathrow this was the first time i have flown long haul ba for sometime although i am ba goldcard holder due to my travels on other oneworld carriers the lounge in newark is lovely and mostly quiet although there is no separate first section and food is only offered for business and first passengers super views over the airfield boarding was smooth however the hard product is awful compared to the competition this was a new boeing however the ying yang seat configuration no air vents high density poor quality food and very little of it very basic toilet facilities compared to american business class on the same route a shoe bag instead of amenity kit the product is akin to an excellent premium economy and not a business class product flight attendants were ok but just going through the motions i asked not to be served breakfast and just a cup of tea but this was forgotten about the arrivals lounge is grim tiny plastic and linoleum shower cabins which are not clean and too small overall very poor and i will not fly with them again unless no other options,True,195,0.041,0.121,0.838,-0.9462,Negative,-0.0252,0.5042,Neutral,Negative,0.5677
14,hyderabad to london i have travelled ba numerous times and had very good experiences up until this past week when i was returning from hyderabad to london from a business trip and was downgraded a cabin while the downgrade itself was not to so much the problem the manner in which the ba staff handled the situation and the apparent lack of care or effort exuded was extremely disappointing i have had previous experiences of being inconvenienced by changes in cabin fair or cancelled flights on other airlines and in such instances those airlines did a fantastic job of providing alternatives or compensation for my troubles in this instance with british airways i was very surprised to find that the company as a whole seemed to care not at all for my well being or the inconvenience put upon me when i asked if i could be put on another comparable flight i was shut down and told no this is not possible without any explanation when i then inquired about switching to a partner airline or receiving a refund to book a different flight on another airline i was told again and again no this is not possible after realising that british airways was in no way going to try and remedy the situation i asked what could be done given the circumstances my answer was a to be handed a gift card and be told that there was essentially nothing i could do about it as the airline was under no legal obligation to provide the service ticket class i had purchased after the flight i filed a claim with british airways and sent emails to the customer service team hoping that someone would have the decency to try and provide some sort of remedy to my less than pleasant experience but i have yet receive even one response only adding to my understanding that british airways does not value myself as a customer or my business i am sad to say that this painfully bad service is likely to prevent me from booking future travel with this airline,True,351,0.054,0.09,0.857,-0.9399,Negative,0.0186,0.5079,Neutral,Negative,0.5639
15,london to chicago in my opinion british airways have massively decreased in value for its customers both within europe and internationally especially as an economy passenger they are moving more towards being a budget airline there is no option of a free seat selection they charge for food on board on short haul flights on long haul flights they removed a second meal with shabby options of a snack instead of a full breakfast or lunch meal avios and tier point awards have been slashed i will not be flying ba any more and will be taking my money elsewhere,True,100,0.081,0.038,0.881,0.6808,Positive,0.13,0.475,Positive,Positive,0.4054
16,london to vancouver return british airways is no longer good value for money the cost of premium economy compared with the quality of service food and the general age of the plane make this a fairly pointless exercise the plane in both directions was old and shabby staff are fine but don t really go out of their way to make it a pleasant experience particular bugbears were the inability to choose a seat when checking in online as soon as it opened of course you have the opportunity to pay an extra each way to choose a seat beforehand the food quality seems to have declined in the past few years and on a pm return flight it took a good few hours to serve the premium economy cabin the tv screens are dirty and small the system had to be reset on the flight out took quite a while for almost double the price of economy i don t think it makes sense to fly world traveller plus on this route,True,173,0.079,0.065,0.856,0.5855,Positive,0.1176,0.3917,Positive,Positive,0.3516
17,flew london heathrow to gibraltar this is probably the last time that i ll book a short haul with british airways from heathrow for anything other than a long holiday no matter how cheap they make it they can t overcome the structural issues of long walks to gates delays for take off slots long walks back to passport control then long queues as passport control and a schlep back to transport willie walsh was saying the other day how people had to expect to pay higher prices for premium airports slightly hollow laugh ba are further constrained by their class cabin configuration which effectively means that the majority of passengers in economy are served by only x cabin crew and only have access to the rear toilets on our flight of well over hours this meant that the final few rows did not get access to any food or water until we had begun the descent and the loos were effectively out of use i have no objection to paying for food and drink but ba have got to make it possible to actually be able to do it and use the loos reasonably easily seems like a structural flaw in their offering the other frustration was the lack of enforcement of the carry on allowance which leads to a scrum to get your bags stowed it took me back to the early days of easyjet and ryanair before allocated seating so unless i m lucky enough to be among the pampered minority in the front few rows i think i ll use regional airports and the better general service and available loos that come with a single class cabin no matter who the carrier is,True,287,0.076,0.043,0.881,0.9024,Positive,0.0949,0.4414,Positive,Positive,0.4986
18,this is my first time flying on ba s a daily service between london heathrow and singapore i chose a seat on the upper deck of the a seat a an exit row seat located just behind world traveller plus this seat has enormous leg space which allows the passenger to fully stretch out the inflight entertainment was adequate and featured some of the latest movies the classical music selection was severely limited though bbc news was on the menu but ironically it was not available for some strange reason inflight service was basic there was only one round of drink service during which cabin crew asked passengers for their drink selection for dinner in other words you would have to order your orange juice coke and wine at the same time cabin crew came around to clear dinner trays too fast even before passengers had finished their meal throughout the night of this red eye flight i did not see any cabin crew coming around with drinks the lhr vce route was operated by the a british airways had recently withdrawn free inflight snacks and drinks for its european routes and passengers are now required to purchase drinks and m s snacks on the whole ba will get you to your destination safely and punctually with no frills in economy class unless there is a promotional airfare too good to resist i would choose another airline,True,237,0.076,0.033,0.891,0.9169,Positive,0.0822,0.3622,Positive,Positive,0.4996
