feature,importance
wants_extra_baggage,0.14331207
flight_duration,0.107660994
route_popularity,0.07850366
sales_channel,0.06489577
length_of_stay,0.062075675
duration_category,0.06119857
extras_x_duration,0.055689663
trip_type,0.050823625
total_extras,0.050062604
wants_preferred_seat,0.049560912
popularity_x_lead,0.038115885
purchase_lead,0.03515752
lead_x_extras,0.03513551
flight_hour,0.03200803
wants_in_flight_meals,0.029461186
booking_window_category,0.02898027
num_passengers,0.028261332
flight_day_num,0.027457317
is_weekend_booking,0.021639409
